Bug_ID,Sprint,Release_Version,Module,Feature,Component,Priority,Severity,Status,Resolution,Root_Cause,Team,Date_Reported,Date_Closed,Resolution_Time_Hours
BUG-0001,Sprint-4,v2.1,Upload,File Upload,Integration,P2,Medium,New,Deferred,Concurrency,QA,2026-01-08,,
BUG-0002,Sprint-10,v2.1,Reports,Reporting,Worker,P2,High,Verified,Fixed,Concurrency,Mobile,2026-01-09,,
BUG-0003,Sprint-5,v1.2,Search,Sync,Worker,P2,Critical,In Progress,Won't Fix,Performance,DevOps,2026-01-09,,
BUG-0004,Sprint-10,v1.1,Invoice,File Upload,Database,P2,Low,Assigned,Fixed,Validation Issue,Backend,2026-01-11,,
BUG-0005,Sprint-6,v1.1,Dashboard,Search,Service,P1,Low,Fixed,Fixed,Data Error,DevOps,2026-01-10,,
BUG-0006,Sprint-6,v1.1,Profile,Dashboard,Integration,P1,High,Verified,Fixed,Logic Error,QA,2026-01-13,,
BUG-0007,Sprint-1,v1.2,Login,Dashboard,Integration,P0,Medium,Assigned,Works as Designed,Data Error,QA,2026-01-14,,
BUG-0008,Sprint-1,v2.0,Scanner,Authentication,Service,P1,High,In Progress,Works as Designed,Configuration,Mobile,2026-01-13,,
BUG-0009,Sprint-4,v1.1,Upload,Export,API,P2,Medium,Fixed,Fixed,Data Error,QA,2026-01-14,,
BUG-0010,Sprint-3,v1.1,Reports,Reporting,API,P2,Medium,New,Fixed,UI/UX,Mobile,2026-01-14,,
BUG-0011,Sprint-7,v1.2,Maps,Dashboard,Database,P1,Low,Verified,Fixed,Data Error,DevOps,2026-01-17,,
BUG-0012,Sprint-9,v2.1,Backup,File Upload,UI,P2,Low,Fixed,Fixed,Validation Issue,Frontend,2026-01-16,,
BUG-0013,Sprint-7,v1.0,Upload,Reporting,UI,P1,Low,Open,Won't Fix,Integration Failure,Mobile,2026-01-17,,
BUG-0014,Sprint-4,v2.0,Invoice,File Upload,UI,P3,Low,New,Cannot Reproduce,Validation Issue,Backend,2026-01-18,,
BUG-0015,Sprint-8,v1.2,Sync,Dashboard,Service,P2,Critical,Closed,Fixed,Performance,Frontend,2026-01-21,2026-01-21,12.9
BUG-0016,Sprint-9,v1.2,Upload,Search,Integration,P2,Low,Closed,Fixed,Logic Error,DevOps,2026-01-21,2026-01-21,21.1
BUG-0017,Sprint-3,v2.1,Maps,Authentication,Integration,P1,High,Open,Deferred,Data Error,Mobile,2026-01-24,,
BUG-0018,Sprint-7,v2.0,Chat,Dashboard,UI,P3,Low,Assigned,Works as Designed,UI/UX,QA,2026-01-22,,
BUG-0019,Sprint-2,v2.1,Invoice,File Upload,Integration,P2,High,Verified,Fixed,Performance,Frontend,2026-01-26,,
BUG-0020,Sprint-1,v2.0,Sync,User Profile,Worker,P1,Low,Open,Works as Designed,Data Error,DevOps,2026-01-26,,
BUG-0021,Sprint-8,v1.2,Checkout,Sync,UI,P2,Medium,Fixed,Fixed,Configuration,DevOps,2026-01-25,,
BUG-0022,Sprint-1,v1.2,Settings,Authentication,Mobile App,P3,High,Assigned,Duplicate,Performance,Frontend,2026-01-28,,
BUG-0023,Sprint-3,v1.1,Scanner,Sync,Service,P2,Medium,Closed,Works as Designed,Logic Error,Frontend,2026-01-28,2026-01-29,25.5
BUG-0024,Sprint-6,v1.1,Login,User Profile,Database,P1,Low,New,Won't Fix,Concurrency,QA,2026-01-30,,
BUG-0025,Sprint-10,v2.1,Maps,File Upload,Worker,P3,Critical,Closed,Works as Designed,Concurrency,DevOps,2026-01-31,2026-01-31,21.2
BUG-0026,Sprint-8,v1.1,Maps,Search,Worker,P1,Low,New,Duplicate,Integration Failure,Backend,2026-02-01,,
BUG-0027,Sprint-3,v1.2,Sync,Export,Mobile App,P2,High,Retest,Fixed,UI/UX,Frontend,2026-02-01,,
BUG-0028,Sprint-6,v1.1,Login,Authentication,Worker,P1,High,Closed,Duplicate,Integration Failure,DevOps,2026-02-02,2026-02-03,27.6
BUG-0029,Sprint-1,v1.1,Scanner,Search,Integration,P2,Critical,Closed,Fixed,Logic Error,QA,2026-02-02,2026-02-02,20.8
BUG-0030,Sprint-10,v2.0,Maps,Reporting,API,P2,Critical,Retest,Fixed,UI/UX,Mobile,2026-02-05,,
BUG-0031,Sprint-3,v1.0,Sync,Authentication,UI,P1,Critical,New,Fixed,Integration Failure,QA,2026-02-04,,
BUG-0032,Sprint-6,v1.1,Camera,Export,Integration,P0,Critical,Fixed,Fixed,Data Error,QA,2026-02-07,,
BUG-0033,Sprint-1,v2.0,Login,User Profile,Service,P1,Low,Open,Cannot Reproduce,UI/UX,QA,2026-02-07,,
